k,Energy (eV)
0.2084,-9.301878
0.23445,-9.301878
0.2605,-9.300517
0.28655,-9.300517
0.3126,-9.300517
0.33865,-9.299156
0.3647,-9.299156
0.39074,-9.296434
0.41679,-9.293713
0.44284,-9.290993
0.46889,-9.289632
0.49494,-9.288271
0.52099,-9.28691
0.54704,-9.285549
0.57309,-9.284189
0.59914,-9.284189
0.62519,-9.282829
0.65124,-9.282829
0.67729,-9.282829
0.70334,-9.281468
0.72939,-9.281468
0.75544,-9.281468
,
,
0.0,-8.950849
0.02605,-8.953568
0.0521,-8.95629
0.07815,-8.95765
0.1042,-8.960372
0.13025,-8.963092
0.1563,-8.965814
0.18235,-8.967175
0.2084,-8.969896
0.23445,-8.971255
0.2605,-8.973977
0.28655,-8.975338
0.3126,-8.97806
0.33865,-8.979421
0.3647,-8.982141
0.39074,-8.984861
0.41679,-8.986222
0.44284,-8.988944
0.46889,-8.990303
0.49494,-8.991664
0.52099,-8.993025
0.54704,-8.994386
0.57309,-8.995747
0.59914,-8.997108
0.62519,-8.998468
0.65124,-8.998468
0.67729,-8.999829
0.70334,-8.999829
0.72939,-8.999829
0.75544,-8.999829
,
,
0.0,-8.950849
0.02605,-8.949488
0.0521,-8.949488
0.07815,-8.952208
0.1042,-8.954929
0.13025,-8.95765
0.1563,-8.960372
0.18235,-8.964453
0.2084,-8.967175
0.23445,-8.969896
0.2605,-8.972616
0.28655,-8.975338
0.3126,-8.976699
0.33865,-8.979421
0.3647,-8.98078
0.39074,-8.983501
0.41679,-8.984861
0.44284,-8.986222
0.46889,-8.987583
0.49494,-8.988944
0.52099,-8.990303
0.54704,-8.990303
0.57309,-8.991664
0.59914,-8.993025
0.62519,-8.993025
