k,Energy (eV)
0.33922,-9.266366
0.36531,-9.266366
0.39141,-9.266366
0.4175,-9.266366
0.4436,-9.266366
0.46969,-9.266366
0.49578,-9.266366
0.52188,-9.266366
0.54797,-9.266366
0.57406,-9.266366
0.60016,-9.266366
0.62625,-9.266366
0.65235,-9.266366
0.67844,-9.266366
0.70453,-9.266366
0.73063,-9.266366
0.75672,-9.266366
,
,
0.0,-9.274529
0.0261,-9.27589
0.05219,-9.278611
0.07828,-9.279972
0.10438,-9.281333
0.13047,-9.282693
0.15656,-9.285414
0.18266,-9.285414
0.20875,-9.281333
0.23485,-9.27725
0.26094,-9.273169
0.28703,-9.269087
0.31313,-9.265005
0.33922,-9.262283
0.36531,-9.259562
0.39141,-9.256842
0.4175,-9.254121
0.4436,-9.2514
0.46969,-9.248678
0.49578,-9.247318
0.52188,-9.244596
0.54797,-9.243236
0.57406,-9.241876
0.60016,-9.240515
0.62625,-9.240515
0.65235,-9.239154
0.67844,-9.239154
0.70453,-9.237793
0.73063,-9.237793
0.75672,-9.237793
,
,
0.0,-9.274529
0.0261,-9.274529
0.05219,-9.273169
0.07828,-9.271809
0.10438,-9.270448
0.13047,-9.270448
0.15656,-9.269087
0.18266,-9.269087
0.20875,-9.267726
0.23485,-9.267726
0.26094,-9.267726
0.28703,-9.266366
0.31313,-9.265005
0.33922,-9.262283
0.36531,-9.259562
0.39141,-9.256842
0.4175,-9.254121
0.4436,-9.2514
0.46969,-9.248678
0.49578,-9.247318
0.52188,-9.244596
0.54797,-9.243236
0.57406,-9.241876
0.60016,-9.240515
0.62625,-9.240515
0.65235,-9.239154
0.67844,-9.239154
0.70453,-9.237793
0.73063,-9.237793
0.75672,-9.237793
,
,
0.0,-8.896288
0.0261,-8.89901
0.05219,-8.900371
0.07828,-8.903091
0.10438,-8.904451
0.13047,-8.907172
0.15656,-8.908533
0.18266,-8.909894
0.20875,-8.912615
0.23485,-8.913976
0.26094,-8.916697
0.28703,-8.918057
0.31313,-8.920778
0.33922,-8.9235
0.36531,-8.924861
0.39141,-8.927582
0.4175,-8.928943
0.4436,-8.930303
0.46969,-8.931664
0.49578,-8.934384
0.52188,-8.935744
0.54797,-8.935744
0.57406,-8.937105
0.60016,-8.938466
0.62625,-8.939826
0.65235,-8.939826
0.67844,-8.941187
0.70453,-8.941187
0.73063,-8.941187
0.75672,-8.941187
,
,
0.0,-8.896288
0.0261,-8.894928
0.05219,-8.896288
0.07828,-8.89901
0.10438,-8.901731
0.13047,-8.904451
0.15656,-8.907172
0.18266,-8.908533
0.20875,-8.911254
0.23485,-8.913976
0.26094,-8.915336
0.28703,-8.918057
0.31313,-8.919418
0.33922,-8.920778
0.36531,-8.922139
0.39141,-8.9235
0.4175,-8.924861
0.4436,-8.926221
0.46969,-8.927582
0.49578,-8.928943
0.52188,-8.930303
0.54797,-8.930303
0.57406,-8.931664
0.60016,-8.931664
0.62625,-8.933023
